,latitude,longitude,borough,zipcode,spc_latin,tree_diameter,wires,sidew_crack_raise,latBin,lonBin,lonDistance,latDistance,avg_health_round,avg_health,landuseavg,numfloorsavg
0,40.74859,-73.984927,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0005730000000028213,9.000000000014552e-05,3.0,3.0,5.0,34.0
1,40.748835,-73.98552,Manhattan,10001,unknown live trees ,3,0,0,40.7485,-73.9855,1.9999999992137418e-05,0.00033499999999975216,3.0,3.0,5.0,34.0
2,40.748854,-73.985564,Manhattan,10001,gleditsia triacanthos,5,0,0,40.7485,-73.9855,6.399999999473494e-05,0.00035400000000151977,3.0,3.0,5.0,34.0
3,40.748801,-73.985436,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,6.399999999473494e-05,0.0003010000000003288,3.0,3.0,5.0,34.0
4,40.748835,-73.98552,Manhattan,10001,pyrus calleryana,3,0,0,40.7485,-73.9855,1.9999999992137418e-05,0.00033499999999975216,3.0,3.0,5.0,34.0
5,40.748615,-73.98499,Manhattan,10001,cornus mas,4,0,0,40.7485,-73.9855,0.0005100000000055616,0.00011500000000097543,3.0,3.0,5.0,34.0
6,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
7,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,3,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
8,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
9,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
10,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
11,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
12,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
13,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
14,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
15,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,5,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
16,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
17,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
18,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
19,40.748747,-73.985308,Manhattan,10001,platanus acerifolia,11,0,0,40.7485,-73.9855,0.00019199999999841566,0.00024700000000166256,3.0,3.0,5.0,34.0
20,40.748828,-73.985502,Manhattan,10001,cornus mas,4,0,0,40.7485,-73.9855,1.9999999949504854e-06,0.0003280000000032146,3.0,3.0,5.0,34.0
21,40.748854,-73.985564,Manhattan,10001,gleditsia triacanthos,4,0,0,40.7485,-73.9855,6.399999999473494e-05,0.00035400000000151977,3.0,3.0,5.0,34.0
22,40.748854,-73.985564,Manhattan,10001,gleditsia triacanthos,5,0,0,40.7485,-73.9855,6.399999999473494e-05,0.00035400000000151977,3.0,3.0,5.0,34.0
23,40.748458,-73.984609,Manhattan,10001,pyrus calleryana,4,0,0,40.7485,-73.9855,0.0008909999999957563,4.2000000000541604e-05,3.0,3.0,5.0,34.0
24,40.748747,-73.985308,Manhattan,10001,acer pseudoplatanus,10,0,0,40.7485,-73.9855,0.00019199999999841566,0.00024700000000166256,3.0,3.0,5.0,34.0
25,40.74611644,-73.99643075,Manhattan,10001,gleditsia triacanthos,15,0,1,40.746,-73.9965,0.00044558999999821935,7.080000003156783e-06,3.0,2.625,3.0,6.0
26,40.7460835,-73.99635136,Manhattan,10001,pyrus calleryana,17,0,1,40.746,-73.9965,0.00044558999999821935,7.080000003156783e-06,3.0,2.625,3.0,6.0
27,40.74608624,-73.99640188,Manhattan,10001,pyrus calleryana,16,0,0,40.746,-73.9965,0.00044558999999821935,7.080000003156783e-06,3.0,2.625,3.0,6.0
